subjID,run,trial,phase,oriRef,oriJitt,oriFinal,oriRespInit,oriRespFinal,error,points,rt,outoftime,iti,oriRef2,oriFinal2,oriRespFinal2,oriFinal3,oriRespFinal3
1,1,59,3,3,-3,87,56,87,0,100,2.78044812400003,,0.2,90,87,87,-3,-3
1,1,60,6,1,5,5,54,7,-2,96,1.93472653299989,,0.2,0,5,7,5,7
1,1,61,2,4,5,140,83,141,-1,98,3.13232928700006,,0.2,135,140,141,5,6
1,1,62,10,2,8,53,77,71,-18,64,1.16526926400002,,0.2,45,53,71,8,26
1,1,63,8,1,-5,175,80,170,5,90,2.98039371899995,,0.2,0,-5,-10,-5,-10
1,1,64,7,1,-2,178,18,166,12,76,2.64987250199999,,0.2,0,-2,-14,-2,-14
1,1,65,5,2,2,47,65,54,-7,86,1.76430290500002,,0.2,45,47,54,2,9
1,1,66,4,3,-1,89,152,85,4,92,3.40092047400003,,0.2,90,89,85,-1,-5
1,1,67,2,3,8,98,126,99,-1,98,2.29957330399998,,0.2,90,98,99,8,9
1,1,68,8,4,6,141,44,140,1,98,2.99857337600008,,0.2,135,141,140,6,5
1,1,69,5,2,7,52,80,51,1,98,1.926971073,,0.2,45,52,51,7,6
1,1,70,6,4,-10,125,100,120,5,90,1.763164598,,0.2,135,125,120,-10,-15
1,1,71,4,2,4,49,25,48,1,98,1.74835412300001,,0.2,45,49,48,4,3
1,1,72,10,4,1,136,9,134,2,96,2.08003857400001,,0.2,135,136,134,1,-1
1,1,73,4,4,-6,129,151,135,-6,88,1.29891782499999,,0.2,135,129,135,-6,0
1,1,74,5,4,-9,126,80,117,9,82,2.46524714400005,,0.2,135,126,117,-9,-18
1,1,75,5,1,-9,171,146,171,0,100,1.94390133000002,,0.2,0,-9,-9,-9,-9
1,1,76,10,2,-4,41,137,30,11,78,2.76379671099994,,0.2,45,41,30,-4,-15
1,1,77,10,1,-4,176,107,173,3,94,2.34803958800001,,0.2,0,-4,-7,-4,-7
1,1,78,3,2,-7,38,53,42,-4,92,1.33608274899996,,0.2,45,38,42,-7,-3
1,1,79,5,2,-5,40,125,31,9,82,2.76746136400004,,0.2,45,40,31,-5,-14
1,1,80,1,3,-7,83,15,79,4,92,2.56498916500004,,0.2,90,83,79,-7,-11
1,1,81,2,1,-5,175,37,170,5,90,2.27917782999998,,0.2,0,-5,-10,-5,-10
1,1,82,8,1,0,0,125,179,1,98,3.33048578599994,,0.2,0,0,-1,0,-1
1,1,83,8,2,-7,38,89,26,12,76,3.88093995700001,,0.2,45,38,26,-7,-19
1,1,84,10,4,10,145,42,142,3,94,2.74828706700009,,0.2,135,145,142,10,7
1,1,85,1,1,6,6,1,5,1,98,2.61600911800019,,0.2,0,6,5,6,5
1,1,86,9,4,4,139,154,138,1,98,2.8823911070001,,0.2,135,139,138,4,3
1,1,87,9,1,-4,176,30,162,14,72,3.89824392899982,,0.2,0,-4,-18,-4,-18
1,1,88,1,2,-6,39,69,39,0,100,2.04666085299982,,0.2,45,39,39,-6,-6
1,1,89,4,2,3,48,83,55,-7,86,1.79710609200015,,0.2,45,48,55,3,10
1,1,90,7,1,0,0,39,172,8,84,3.69884001100013,,0.2,0,0,-8,0,-8
1,1,91,4,4,3,138,22,145,-7,86,2.28537951699991,,0.2,135,138,145,3,10
1,1,92,1,3,10,100,60,117,-17,66,3.64783358599993,,0.2,90,100,117,10,27
1,1,93,9,3,1,91,10,95,-4,92,3.19827350100013,,0.2,90,91,95,1,5
1,1,94,4,1,2,2,58,2,0,100,3.97972336000021,,0.2,0,2,2,2,2
1,1,95,9,2,10,55,105,44,11,78,3.31230975299991,,0.2,45,55,44,10,-1
1,1,96,3,4,-2,133,97,139,-6,88,2.23313495399998,,0.2,135,133,139,-2,4
1,1,97,6,3,-5,85,179,79,6,88,3.24767733499993,,0.2,90,85,79,-5,-11
1,1,98,6,3,-4,86,169,87,-1,98,3.36681383599989,,0.2,90,86,87,-4,-3
1,1,99,8,4,3,138,9,123,15,70,3.41407464700001,,0.2,135,138,123,3,-12
1,1,100,10,4,9,144,91,131,13,74,3.32801675099995,,0.2,135,144,131,9,-4
1,1,101,7,2,-5,40,180,32,8,84,2.33057369800008,,0.2,45,40,32,-5,-13
1,1,102,7,3,2,92,43,94,-2,96,3.5662491569999,,0.2,90,92,94,2,4
1,1,103,8,2,-2,43,1,30,13,74,2.13201822500014,,0.2,45,43,30,-2,-15
1,1,104,2,3,-9,81,76,78,3,94,2.43203171899995,,0.2,90,81,78,-9,-12
1,1,105,3,1,3,3,96,179,4,92,3.64798735599993,,0.2,0,3,-1,3,-1
1,1,106,6,2,-4,41,75,44,-3,94,1.97956317199987,,0.2,45,41,44,-4,-1
1,1,107,7,4,-10,125,58,122,3,94,2.87955058900002,,0.2,135,125,122,-10,-13
1,1,108,2,2,8,53,172,35,18,64,2.22247738700003,,0.2,45,53,35,8,-10
1,1,109,5,4,-4,131,117,122,9,82,1.50540609199993,,0.2,135,131,122,-4,-13
1,1,110,9,4,-4,131,131,131,0,100,0.914802990999988,,0.2,135,131,131,-4,-4
1,1,111,1,4,-9,126,55,120,6,88,2.666789892,,0.2,135,126,120,-9,-15
1,1,112,3,3,4,94,22,105,-11,78,3.03120827199996,,0.2,90,94,105,4,15
1,1,113,6,2,6,51,174,68,-17,66,3.61366979500008,,0.2,45,51,68,6,23
